id,Restaurants,Category,Neighborhood,Price,Opening_Time,Closing_Time,Average_Rating,Good_for_kids
1,Voltsillam,Korean,Harlem,Expensive,9:40,0:41,2,False
2,Ronstring,Vegan,East Village,Cheap,9:53,0:40,5,True
3,Pannier,Chinese,Lower East Side,Expensive,12:12,1:47,3,True
4,Cardify,Fast Food,Brooklyn,Medium,8:52,1:49,4,True
5,Lotstring,Russian,Hell's Kitchen,Expensive,8:58,0:39,2,True
6,Lotlux,Fast Food,Hell's Kitchen,Cheap,9:20,1:06,1,True
7,Gembucket,Vegan,Bronx,Expensive,11:14,0:58,3,False
8,Keylex,Italian,East Village,Medium,11:51,0:08,2,False
9,Stringtough,Italian,Harlem,Expensive,8:44,0:25,1,True
10,Zathin,Russian,Manhattan,Expensive,10:35,1:40,2,False
11,Bitchip,Russian,Manhattan,Cheap,12:39,0:39,2,False
12,Rank,Fast Food,Bronx,Expensive,8:48,1:45,5,False
13,Opela,Chinese,Hell's Kitchen,Medium,8:47,1:54,4,False
14,Matsoft,Kazakh,Brooklyn,Cheap,8:43,1:23,1,False
15,Zathin,Italian,Harlem,Cheap,8:58,1:53,4,False
16,Ventosanzap,Korean,Harlem,Cheap,8:04,0:41,1,True
17,Andalax,Vegan,Harlem,Cheap,8:40,0:54,1,True
18,Tampflex,Chinese,Brooklyn,Cheap,10:26,1:54,4,False
19,Fix San,Russian,Lower East Side,Medium,10:02,0:15,2,False
20,Job,Fast Food,Hell's Kitchen,Medium,12:05,0:17,4,True
21,Regrant,Mexican,Brooklyn,Expensive,9:57,1:12,5,False
22,Keylex,Chinese,Bronx,Cheap,8:36,1:07,3,False
23,Home Ing,Mexican,Lower East Side,Cheap,10:35,1:17,3,True
24,Stim,Mexican,Lower East Side,Medium,10:05,0:30,5,False
25,Daltfresh,Russian,Bronx,Medium,11:43,0:13,5,False
26,Vagram,Chinese,Harlem,Cheap,10:37,1:10,5,False
27,Zathin,Indian,Harlem,Cheap,12:02,0:25,4,False
28,Ronstring,Japanese,Lower East Side,Medium,10:59,1:00,5,False
29,Transcof,Russian,Brooklyn,Medium,10:29,0:21,3,True
30,Zathin,Italian,Manhattan,Expensive,10:08,1:47,1,True
31,Greenlam,Mexican,Brooklyn,Expensive,11:41,1:40,1,True
